وضعیت,نام,دسته,منبع,لینک,تاریخ,شناسه
جدید,Haust Network,🟣 تست‌نت,dropjet/testnet,https://dropjet.co/airdrops/haust-network/,,h_testnet_haust-network
جدید,Pharos Airdrop,🟢 مین‌نت,dropjet/testnet,https://dropjet.co/airdrops/pharos-airdrop/,,h_testnet_pharos-airdrop
جدید,Fraction Ai,❓ نامشخص,dropjet/testnet,https://dropjet.co/airdrops/fraction-ai/,,h_testnet_fraction-ai
جدید,Inertia Airdrop,🟣 تست‌نت,dropjet/testnet,https://dropjet.co/airdrops/inertia-airdrop/,,h_testnet_inertia-airdrop
جدید,Theoriqai Airdrop,🟣 تست‌نت,dropjet/testnet,https://dropjet.co/airdrops/theoriqai-airdrop/,,h_testnet_theoriqai-airdrop
جدید,Initia Airdrop,🟣 تست‌نت,dropjet/testnet,https://dropjet.co/airdrops/initia-airdrop/,,h_testnet_initia-airdrop
جدید,Nvidia-backed company nearly doubles valuation in new funding round,💰 خبر فاندینگ,gnews,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMnl5cEJ3TVUyR3N4WV9CSzRNV3hya3QxYXdubDBWR1FhYVdEZXMzX3E0amFBRGVPWTFEQ1ZjSVYycDVvLVcyT3NqMHB2c1VpRUNxUnZJVlBma3BxMmxhOU5MVFBMeDlTclR0Xy04ZU0tMEhodTROTEVFQkFFZmZ5RmtmSnA1S0lGdFBXY0FQbjlYUmFyVlI4SDVZaUY3SEZleVNaRmhPMlJXeXZv?oc=5,2026-08-07,h_fund_gnews_bb39b10d35e6e995
جدید,"Former Bitcoin miner Firmus raises $2B as Blackstone, Nvidia back AI push",💰 خبر فاندینگ,gnews,https://news.google.com/rss/articles/CBMilwFBVV95cUxPeWVGX2psdVhjS0I1RENKdGJNNTVGS0tBTWdVdnR0dXE5UHpaNUl6RTVuUzU5aVdERXJRNlNpdF9GQ1JkNjVTQ2RTR1hubGNNQy1DVE5MaVpua3ZVZzMxOEU5SXNsWjY2UzA3VVdOeG11Q1V1UTA3R2pFaTNJc3F6Q2xtMnlpRFJhMHRUeE9qSndleGptSFNB?oc=5,2026-08-07,h_fund_gnews_f19da9358047525e
جدید,JPYC raises $38M to boost Japan's stablecoin us...,💰 خبر فاندینگ,gnews,https://news.google.com/rss/articles/CBMirwFBVV95cUxNZWg2VkpSNndjNFBDTGhkUXhwODNVSEhzMVh6QXZnLWFodzFEN2ZSODdFRklCNjlFWmxLTVFsenVEbWlYeGYzajQxQkpfMVVyQjEyTEtiZ1dkdVhlM3dNVGhTR2d5WXlOQW45YU9LYk4xWW9QZGV6TVBzT3B5UGVnSVFWOFM0MFdtOVBsNWczc3p6bXRVNXdCcHBPTm1PV3RQelNJVW5DVDY5czRsYXZN?oc=5,2026-08-07,h_fund_gnews_2006f3a09838ce4e
جدید,Rinse12/testnet-5chan-pass-faucet,🟣 تست‌نت,github,https://github.com/Rinse12/testnet-5chan-pass-faucet,2026-08-07,h_gh_Rinse12/testnet-5chan-pass-faucet
جدید,SoroushDevv/CFT-Dashboard,🟣 تست‌نت,github,https://github.com/SoroushDevv/CFT-Dashboard,2026-08-04,h_gh_SoroushDevv/CFT-Dashboard
جدید,promanas0/archpulse,🟣 تست‌نت,github,https://github.com/promanas0/archpulse,2026-08-06,h_gh_promanas0/archpulse
جدید,Quote,🟢 مین‌نت,alphadrops,https://app.quotemarkets.xyz/,2026-08-02,ad_7a346cdf95d1518e
جدید,c8ntinuum (CTM),🆕 تازه در ترکر,cryptorank,https://cryptorank.io/price/c8ntinuum-activity1265,2026-08-06,cr_25a4595c802fe001
جدید,Stellar (XLM),🆕 تازه در ترکر,cryptorank,https://cryptorank.io/price/stellar-activity1262,2026-08-05,cr_ae4db1bfe854913e
